年月,年,月,进口额,出口额
201501,2015,1,1415795131.0,2277466698.0
201502,2015,2,1020925569.0,1581129117.0
201503,2015,3,1492169529.0,2028575073.0
201504,2015,4,1622685240.0,2014005603.0
201505,2015,5,1932364249.0,2103519659.0
201506,2015,6,1647997568.0,2511223639.0
201507,2015,7,1655402159.0,2787748030.0
201508,2015,8,1449059713.0,2673638508.0
201509,2015,9,1521360264.0,2514048073.0
201510,2015,10,1589521311.0,2363129137.0
201511,2015,11,1523952646.0,2063347548.0
201512,2015,12,1489871996.0,2570734698.0
201601,2016,1,1405819244.0,2378548864.0
201602,2016,2,1011233711.0,1474159708.0
201603,2016,3,1578476788.0,2274300690.0
201604,2016,4,1746404961.0,2162800673.0
201605,2016,5,1795464237.0,2184183403.0
201606,2016,6,1584405697.0,2647229412.0
201607,2016,7,1585082851.0,2734036656.0
201608,2016,8,1622487125.0,2919659222.0
201609,2016,9,1502017010.0,2574689541.0
201610,2016,10,1681093223.0,2358856322.0
201611,2016,11,1726361554.0,2306488623.0
201612,2016,12,1668789630.0,2716755223.0
201701,2017,1,1256365318.0,2509898029.0
201702,2017,2,1438111754.0,1827572691.0
201703,2017,3,1887976301.0,2615634246.0
201704,2017,4,1824894372.0,2346126630.0
201705,2017,5,2030166116.0,2414422501.0
201706,2017,6,1847851730.0,2857191964.0
201707,2017,7,1764954489.0,2945502568.0
201708,2017,8,1701612823.0,3193659961.0
201709,2017,9,1727265752.0,2876862318.0
201710,2017,10,1846380669.0,2725842015.0
201711,2017,11,1853807078.0,2662036308.0
201712,2017,12,1808066219.0,2981833403.0
201801,2018,1,1931155953.0,3023312335.0
201802,2018,2,1378514686.9999998,2010099664.9999998
201803,2018,3,1859757681.0000002,2884245731.0000005
201804,2018,4,2007534450.0,2629526123.0000005
201805,2018,5,2506468838.0000005,3010693805.999999
201806,2018,6,2112746865.9999993,3288276946.000001
201807,2018,7,2152254965.0,3437689446.0
201808,2018,8,1996362469.0,3808494477.999999
201809,2018,9,1886304445.0000007,3190259564.0
201810,2018,10,2104444920.9999995,3266278951.000002
201811,2018,11,2053605421.9999995,3070086502.9999995
201812,2018,12,1925155088.0000005,3327031461.0
201901,2019,1,2108130830.0,3867690994.0
201902,2019,2,1254733579.0,1716480902.9999998
201903,2019,3,2113762128.0000002,3122610099.9999995
201904,2019,4,2206767389.000001,2905459936.0000014
201905,2019,5,2483545893.999999,3334073479.999999
201906,2019,6,2035249683.0,3443286829.0
201907,2019,7,2137774709.0,3910715558.0000014
201908,2019,8,1845931603.9999995,3967672493.000002
201909,2019,9,1822654605.9999995,3382427598.0000005
201910,2019,10,2121973071.0000012,3263434965.9999995
201911,2019,11,2022465684.9999983,3143139644.000001
201912,2019,12,1974990403.0000005,3573570227.9999986
202001,2020,1,1498982498.0,2887445588.0
202002,2020,2,1480989437.0,2758043653.0
202003,2020,3,2115009194.0000002,2894633406.0000005
202004,2020,4,1752473968.0,1962560204.9999986
202005,2020,5,1684396879.0,2260960281.0000005
202006,2020,6,1728349303.0,3017105706.999999
202007,2020,7,1756444726.0000005,3532151970.999999
202008,2020,8,1665588868.9999993,3500092688.999998
202009,2020,9,1774233779.000002,3423339434.0000014
202010,2020,10,1945096885.0,3160455184.0000033
202011,2020,11,1936891634.9999993,2812668128.000003
202012,2020,12,2199294860.000002,3480465685.999999
202101,2021,1,2053617360.0,3276906596.0
202102,2021,2,1462908328.0,2306364586.0
202103,2021,3,2273239131.9999995,3477429826.0
202104,2021,4,2604236340.0,3162961518.999999
202105,2021,5,2656590554.0000005,3279339657.9999995
202106,2021,6,2477366835.000001,3804570162.0000005
202107,2021,7,2276947081.0,3910968523.000003
202108,2021,8,1895394654.000001,3348631485.0000014
202109,2021,9,1911151638.9999998,2956211872.000002
202110,2021,10,1971547337.0000002,3371167256.9999986
202111,2021,11,2390019542.000001,3824635971.000001
202112,2021,12,2392045401.999999,4426198841.000001
202201,2022,1,2503854027.0,4319931862.0
202202,2022,2,1894701500.0,2723221111.0
202203,2022,3,2413756452.0,3861997579.999999
202204,2022,4,2627407205.999999,3929636801.000001
202205,2022,5,2868911418.0,3894734426.0
202206,2022,6,2403857820.9999995,4209623084.9999995
202207,2022,7,2251618265.0,4299662405.000002
202208,2022,8,2398412002.9999995,4672174747.0
202209,2022,9,2333519534.0000005,3297996328.9999967
202210,2022,10,2130354353.0000014,3246845739.000001
202211,2022,11,2208817627.0000014,3447866900.999999
202212,2022,12,1919918550.0000007,3483436020.999998
202301,2023,1,1624571238.0,2654961226.0
202302,2023,2,1539214134.0,2858197777.0
202303,2023,3,2287174789.0,3259883380.9999995
202304,2023,4,2084053397.0,3122408264.0
202305,2023,5,2230457859.0,3534112129.9999986
202306,2023,6,2001260153.0000005,3659927776.0
202307,2023,7,1928507201.0,3924205813.0000005
202308,2023,8,2047119400.0000005,4134328727.000001
202309,2023,9,2029690188.999999,3161951779.0000005
202310,2023,10,2039990933.0000017,3183244441.0000005
202311,2023,11,2129781310.0000005,3322020998.000005
